ticker,date,closePriceAdjusted,totalVolume
LPB,2020-04-01,4865.05683,3814282
BSI,2020-04-01,6917.4937197,2120
VND,2020-04-01,9140.9157166176,4153430
BSI,2020-08-31,6735.6719015,18630
STB,2020-08-31,11200,9422820
VNM,2020-09-07,116684.693604864,2995780
FPT,2020-09-10,41837.279538888,1005950
BSI,2020-09-07,6834.8474387,144540
BVH,2020-09-10,47193.93,1823420
MBS,2020-09-04,8091.71478,128310
VND,2020-08-28,10005.5969330544,1251080
LPB,2020-09-08,7257.70773,8284183
CTD,2020-08-24,78717.48,939500
CTD,2020-09-10,72707.76,381410
CTD,2020-08-27,78323.4,750190
ACB,2020-08-27,15089.13,4883627
FPT,2020-08-27,42390.007825479,3724990
BVH,2020-09-04,50125.23,1202750
CTD,2020-09-04,74185.56,560630
MBS,2020-08-21,7758.03582,303534
CTD,2020-08-21,76944.12,468160
BSI,2020-08-26,6743.9365296,9340
BVH,2020-08-26,46509.96,548640
FPT,2020-09-03,42857.700991056,2307448
ACB,2020-09-01,14808.402,7930164
ACB,2020-08-31,14878.584,7008237
ACB,2020-09-04,14808.402,4665691
CTD,2020-09-09,72215.16,439130
VND,2020-08-27,9840.8957489712,577010
ACB,2020-09-07,14597.856,6067374
FPT,2020-09-08,42092.38490193,1762870
VNM,2020-08-27,108535.286432461,1178770
STB,2020-08-21,11050,12934020
VNM,2020-08-21,107053.576037478,914998
ACB,2020-08-28,15018.948,7013693
BSI,2020-08-28,6653.0256205,43560
VNM,2020-08-25,108627.893332147,1868030
MBS,2020-08-24,7841.45556,120262
CTD,2020-08-25,80490.84,1058980
BSI,2020-08-25,6760.4657858,56310
FPT,2020-08-24,41199.516131283,3540210
VND,2020-08-25,9758.5451569296,918510
LPB,2020-08-24,7337.46276,7331529
ACB,2020-08-25,14808.402,7801079
BSI,2020-08-21,6529.056199,7960
FPT,2020-08-21,40306.647360636,1260210
ACB,2020-04-03,13404.762,5382373
CTD,2020-04-01,44432.52,217950
LPB,2020-09-09,7257.70773,5216650
STB,2020-08-26,11200,10738740
MBS,2020-04-01,7507.7766,46800
FPT,2020-04-01,35969.856188922,1509636
ACB,2020-04-01,13053.852,4261228
VND,2020-03-31,9346.7921967216,365190
MBS,2020-03-31,7007.25816,71730
VNM,2020-04-01,87050.485705216,1155730
STB,2020-04-01,7810,8807420
BVH,2020-04-01,38644.305,660300
ACB,2020-03-31,12492.396,4752153
VND,2020-03-30,9346.7921967216,338160
BSI,2020-03-31,6611.70248,10140
LPB,2020-03-31,4466.28168,2241165
VNM,2020-03-31,84272.278714624,2112640
STB,2020-03-31,7300,12220160
LPB,2020-03-30,4466.28168,2402873
ACB,2020-03-30,12773.124,5935098
CTD,2020-03-31,44284.74,280350
BVH,2020-03-31,36152.7,805060
VNM,2020-03-30,84457.4925139968,2309790
FPT,2020-03-31,34949.434736754,2437050
STB,2020-03-30,7640,16452350
CTD,2020-03-30,47585.16,165000
VND,2020-03-26,9470.318084784,606350
MBS,2020-03-30,7007.25816,42829
VNM,2020-03-27,87143.0926049024,3605950
BSI,2020-03-27,6570.3793395,1020
CTD,2020-03-26,51033.36,95830
BVH,2020-03-26,38595.45,1358190
BVH,2020-03-30,35175.6,539450
CTD,2020-03-27,50343.72,63030
ACB,2020-03-27,13825.854,3980691
VND,2020-03-27,9429.1427887632,380090
VNM,2020-03-26,87050.485705216,4702830
MBS,2020-03-27,7007.25816,32200
LPB,2020-03-27,4785.3018,3121890
BVH,2020-03-27,37129.8,891510
STB,2020-03-27,8210,11651840
FPT,2020-03-30,34354.188889656,4764320
FPT,2020-03-27,36650.137157034,2653750
STB,2020-03-26,8700,7221630
BSI,2020-03-26,7016.6692569,4090
BSI,2020-03-30,7016.6692569,10
LPB,2020-03-26,4785.3018,2564185
BSI,2020-03-25,6983.6107445,3280
MBS,2020-03-25,7340.93712,21062
ACB,2020-03-26,13825.854,3631529
VNM,2020-03-25,85198.347711488,3155180
FPT,2020-03-25,39116.15566644,2231790
LPB,2020-03-25,5104.32192,3416157
BSI,2020-03-24,6859.641323,4020
STB,2020-03-24,8800,7815200
FPT,2020-03-24,37840.62885123,3550180
ACB,2020-03-25,14387.31,4330399
CTD,2020-03-24,50540.76,114070
VND,2020-03-25,9635.0192688672,413700
BVH,2020-03-25,36103.845,572360
LPB,2020-03-24,4865.05683,2750936
FPT,2020-03-26,37585.523488188,2536210
VND,2020-03-24,9470.318084784,379870
MBS,2020-03-26,7007.25816,22701
STB,2020-03-25,9110,9894240
CTD,2020-03-25,52215.6,152310
ACB,2020-03-23,13545.126,10424247
VNM,2020-03-20,83346.20971776,3097030
VND,2020-03-20,10458.5251892832,5185470
ACB,2020-03-24,13755.672,5827348
FPT,2020-03-23,37755.593730216,4216870
LPB,2020-03-20,5423.34204,1543196
ACB,2020-03-20,15018.948,5271663
STB,2020-03-20,9800,4889230
STB,2020-03-23,9120,10633200
BVH,2020-03-20,33905.37,1738250
MBS,2020-03-20,7591.19634,20012
BSI,2020-03-20,7024.933885,20640
VNM,2020-03-24,79734.5406299904,1739530
BVH,2020-03-23,31560.33,719140
VND,2020-03-23,9758.5451569296,164420
MBS,2020-03-23,7424.35686,82800
MBS,2020-03-24,7174.09764,85200
CTD,2020-03-20,53003.76,208660
BVH,2020-03-24,33758.805,656590
LPB,2020-03-23,4705.54677,8131405
VNM,2020-03-23,77511.9750375168,2187710
BSI,2020-03-23,6545.5854552,2430
CTD,2020-03-23,49358.52,200910
BSI,2020-03-19,7024.933885,1070
VNM,2020-03-19,82420.140720896,2774560
LPB,2020-03-19,5423.34204,1682093
BVH,2020-03-18,38106.9,359810
LPB,2020-03-18,5503.09707,3319248
STB,2020-03-17,10200,8706390
FPT,2020-03-19,40561.752723678,2216470
LPB,2020-03-17,5582.8521,1784834
VND,2020-03-18,10705.576965408,298780
CTD,2020-03-18,54284.52,153030
BSI,2020-10-02,7686.104133,328760
STB,2020-10-05,13700,22824020
VNM,2020-10-02,100015.451661312,2864220
STB,2020-10-06,14200,27112100
VND,2020-10-02,11734.959365928,1899860
MBS,2020-10-05,9176.1714,221092
FPT,2020-10-06,42942.73611207,1520290
CTD,2020-10-02,67683.24,774660
VND,2020-10-05,12517.2899903232,2012050
LPB,2020-10-01,9490.84857,19022862
VNM,2020-10-06,99089.382664448,2044710
ACB,2020-10-06,16843.68,10982719
ACB,2020-10-05,16562.952,13043521
VNM,2020-09-30,100848.91375849,1432380
STB,2020-09-30,13800,28314430
LPB,2020-10-06,9411.09354,9318300
BSI,2020-10-06,7917.5137198,190760
BSI,2020-10-01,7603.457852,276820
VNM,2020-10-05,99367.2033635072,1470106
VND,2020-10-01,11734.959365928,3568650
LPB,2020-10-02,9490.84857,14972341
LPB,2020-10-05,9490.84857,6085600
VND,2020-10-06,12681.9911744064,2056770
BVH,2020-10-02,47389.35,657470
BVH,2020-10-01,47731.335,254320
CTD,2020-10-01,67978.8,554170
STB,2020-10-02,13450,23206500
MBS,2020-10-02,8925.91218,186872
ACB,2020-10-01,15790.95,6510304
STB,2020-10-01,13750,13285440
ACB,2020-02-06,16843.68,2993981
FPT,2020-02-05,44218.26292728,1648620
FPT,2020-02-06,45578.824863504,1733750
CTD,2020-02-06,52314.12,170980
BVH,2020-02-06,57062.64,176570
BSI,2020-02-06,7884.4552074,117190
VNM,2020-02-05,98718.9550657024,2035750
VNM,2020-02-04,97237.24467072,1869040
BVH,2020-02-03,54326.76,270730
CTD,2020-02-05,49851.12,148880
BSI,2020-02-05,7851.396695,86490
LPB,2020-02-04,5981.62725,783597
CTD,2020-02-04,49358.52,254790
BSI,2020-02-04,7884.4552074,85900
VND,2020-02-05,11611.4334778656,104530
STB,2020-02-04,10200,5433400
BVH,2020-02-04,54424.47,312880
BSI,2020-02-03,7843.1320669,218220
ACB,2020-02-05,16141.86,4561850
