,ACB,,DCM,,FPT,,FTS,,GEE,,GEX,,HAH,,HCM,,HDB,,HHS,,MBB,,MIG,,NTL,,SHB,,SHS,,TCH,,VHM,,VRE,,VSH,,VTP,
,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight,initialWeight,neutralizedWeight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 00:00:00,50%,45%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,3%,-2%,21%,16%,6%,1%,0%,-5%,2%,-3%,8%,3%,0%,-5%,0%,-5%,0%,-5%,8%,3%,1%,-4%,0%,-5%
2025-07-02 00:00:00,57%,52%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,18%,13%,0%,-5%,0%,-5%,0%,-5%,18%,13%,0%,-5%,0%,-5%,0%,-5%,5%,0%,0%,-5%,0%,-5%
2025-07-03 00:00:00,52%,47%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,15%,10%,0%,-5%,1%,-4%,0%,-5%,26%,21%,0%,-5%,0%,-5%,0%,-5%,5%,0%,0%,-5%,0%,-5%
2025-07-04 00:00:00,14%,9%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,3%,-2%,7%,2%,3%,-2%,0%,-5%,70%,65%,0%,-5%,0%,-5%,0%,-5%,2%,-3%,1%,-4%,0%,-5%
2025-07-07 00:00:00,0%,-5%,3%,-2%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,7%,2%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,38%,33%,0%,-5%,42%,37%,0%,-5%,0%,-5%,0%,-5%,10%,5%,0%,-5%,0%,-5%
2025-07-08 00:00:00,0%,-5%,5%,0%,0%,-5%,0%,-5%,4%,-1%,0%,-5%,7%,2%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,47%,42%,0%,-5%,23%,18%,0%,-5%,0%,-5%,0%,-5%,13%,8%,0%,-5%,0%,-5%
2025-07-09 00:00:00,0%,-5%,1%,-4%,0%,-5%,0%,-5%,7%,2%,0%,-5%,7%,2%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,55%,50%,0%,-5%,30%,25%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%
2025-07-10 00:00:00,0%,-5%,2%,-3%,0%,-5%,0%,-5%,8%,3%,0%,-5%,8%,3%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,66%,61%,0%,-5%,16%,11%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%,0%,-5%
