date,ACB,BSI,BVH,CTD,FPT,LPB,MBS,STB,VND,VNM
2020-01-02,16141.86,6479.4684304,67419.9,52018.56,49830.580914204,6061.38228,12262.70178,10200.0,11899.6605500112,109183.534730266
2020-01-03,16141.86,6198.471075,67029.06,52511.16,48980.229704064,6061.38228,12262.70178,10200.0,11858.4852539904,109553.962329011
2020-01-06,15790.95,6198.471075,66051.96,51821.52,48470.01897798,5901.87222,12262.70178,10050.0,11776.1346619488,108720.500231834
2020-01-07,15790.95,6198.471075,65954.25,50737.8,49405.405309134,5901.87222,12095.8623,10150.0,11776.1346619488,109739.176128384
2020-01-08,15510.222,6198.471075,64488.6,49654.08,48299.948735952,5901.87222,12095.8623,9980.0,11611.4334778656,110016.996827443
2020-01-09,15720.768,6190.2064469,63609.21,49457.04,48980.229704064,5901.87222,12095.8623,10150.0,11734.959365928,109831.78302807
2020-01-10,15931.314,6264.5880998,65465.7,48816.66,48895.19458305,6141.13731,12346.12152,10500.0,11776.1346619488,110109.60372713
2020-01-13,16071.678,6264.5880998,65172.57,48964.44,48555.054098994,6061.38228,12095.8623,10400.0,11776.1346619488,108720.500231834
2020-01-14,16492.77,6264.5880998,64488.6,48865.92,48470.01897798,6061.38228,11929.02282,10300.0,11734.959365928,109090.927830579
2020-01-15,16352.406,6264.5880998,64390.89,48718.14,48470.01897798,6061.38228,11929.02282,10250.0,11693.7840699072,109090.927830579
2020-01-16,16773.498,6231.5295874,64488.6,48570.36,49320.37018812,6141.13731,12012.44256,10400.0,11858.4852539904,109461.355429325
2020-01-17,16703.316,6446.409918,64390.89,51920.04,48980.229704064,6141.13731,11845.60308,10600.0,11899.6605500112,109831.78302807
2020-01-20,17054.226,6281.117356,63902.34,52708.2,48810.159462036,6220.89234,11845.60308,10700.0,11899.6605500112,110202.210626816
2020-01-21,17194.59,6363.763637,64390.89,52215.6,47194.49216277,6220.89234,11845.60308,10900.0,11940.835846032,112054.348620544
2020-01-22,17194.59,6801.7889263,65465.7,52609.68,48044.84337291,6380.4024,11929.02282,10900.0,12434.9393982816,112332.169319603
2020-01-30,16562.952,7272.872728,61655.01,52117.08,46514.211194658,6061.38228,11762.18334,10350.0,12311.4135102192,107979.645034342
2020-01-31,16141.86,7777.0150421,57453.48,54875.64,44218.26292728,5901.87222,11762.18334,10200.0,12105.5370301152,100478.486159744
2020-02-03,15861.132,7843.1320669,54326.76,51427.44,43793.08732221,5742.36216,11762.18334,10250.0,11529.082885824,100293.272360371
2020-02-04,16282.224,7884.4552074,54424.47,49358.52,44048.192685252,5981.62725,11762.18334,10200.0,11529.082885824,97237.24467072
2020-02-05,16141.86,7851.396695,55499.28,49851.12,44218.26292728,5582.8521,11762.18334,10250.0,11611.4334778656,98718.9550657024
2020-02-06,16843.68,7884.4552074,57062.64,52314.12,45578.824863504,5662.60713,11762.18334,10950.0,11611.4334778656,99552.41716288
2020-02-07,16703.316,7925.7783479,58430.58,55959.36,45323.719500462,5742.36216,11595.34386,11150.0,11570.2581818448,102052.803454413
2020-02-10,16562.952,7934.042976,56183.25,59801.64,44728.473653364,5582.8521,10510.88724,10950.0,11405.5569977616,100941.520658176
2020-02-11,16633.134,7934.042976,56476.38,62067.6,45578.824863504,5662.60713,9760.10958,11350.0,11652.6087738864,99274.5964638208
2020-02-12,17966.592,7892.7198355,56183.25,64038.0,46004.000468574,5582.8521,10093.78854,11550.0,11776.1346619488,99274.5964638208
2020-02-13,17896.41,7438.16529,56183.25,63348.36,46174.070710602,5582.8521,9926.94906,11500.0,11652.6087738864,98996.7757647616
2020-02-14,18528.048,7562.1347115,55694.7,63249.84,46344.14095263,5901.87222,9926.94906,11600.0,11693.7840699072,98718.9550657024
2020-02-17,18528.048,7520.811571,55108.44,66993.6,46089.035589588,5901.87222,9676.68984,11650.0,11776.1346619488,99552.41716288
2020-02-18,18668.412,7438.16529,54815.31,68964.0,47619.66776784,5742.36216,9843.52932,11550.0,11693.7840699072,97700.279169152
2020-02-19,18457.866,7851.396695,55108.44,68964.0,47364.562404798,5662.60713,9760.10958,11400.0,11693.7840699072,98533.7412663296
2020-02-20,18528.048,7934.042976,56183.25,66599.52,47449.597525812,5662.60713,9676.68984,11300.0,11611.4334778656,98533.7412663296
2020-02-21,18036.774,7727.4272735,57160.35,65909.88,46514.211194658,5582.8521,9676.68984,11300.0,11570.2581818448,100478.486159744
2020-02-24,16843.68,7438.16529,54717.6,61377.96,44643.43853235,5343.58701,9593.2701,10850.0,11158.5052216368,98533.7412663296
2020-02-25,17615.682,7520.811571,55596.99,62855.76,45918.96534756,5343.58701,9426.43062,11150.0,11282.0311096992,100015.451661312
2020-02-26,17264.772,7562.1347115,54229.05,61575.0,46769.3165577,5503.09707,9259.59114,11200.0,11240.8558136784,97237.24467072
2020-02-27,17896.41,7801.8089264,55108.44,63939.48,47619.66776784,5662.60713,9092.75166,11650.0,11282.0311096992,99459.8102631936
2020-02-28,17685.864,7686.104133,53642.79,61377.96,46854.351678714,5662.60713,9593.2701,11600.0,11117.329925616,96774.210172288
2020-03-02,17685.864,7686.104133,53447.37,63052.8,47364.562404798,6300.64737,9259.59114,12350.0,11117.329925616,96774.210172288
2020-03-03,17966.592,7529.0761991,54424.47,67387.68,47534.632646826,6938.68761,9176.1714,12250.0,11364.3817017408,97515.0653697792
2020-03-04,18106.956,7520.811571,54424.47,67486.2,47194.49216277,7177.9527,9092.75166,12500.0,11323.20640572,97052.0308713472
2020-03-05,17966.592,7438.16529,53935.92,66205.44,46429.176073644,6938.68761,9092.75166,12200.0,11323.20640572,96774.210172288
2020-03-06,17756.046,7438.16529,53838.21,68964.0,45918.96534756,6779.17755,9009.33192,12250.0,11323.20640572,96496.3894732288
2020-03-09,16352.406,6917.4937197,50125.23,64136.52,42772.665870042,5742.36216,8175.13452,11400.0,11117.329925616,89828.692695808
2020-03-10,16984.044,6669.5548767,47584.77,64038.0,43963.157564238,6061.38228,8175.13452,11400.0,11117.329925616,94181.2169810688
2020-03-11,16422.588,7024.933885,44555.76,59604.6,43197.841475112,5981.62725,7924.8753,10650.0,11858.4852539904,94088.6100813824
2020-03-12,15510.222,7024.933885,41477.895,55466.76,40901.893207734,5742.36216,7507.7766,9950.0,11034.9793335744,93440.3617835776
2020-03-13,15440.04,7024.933885,39523.695,53890.44,40944.410768241,5662.60713,7841.45556,10400.0,10952.6287415328,91773.4375892224
2020-03-16,14668.038,6694.348761,37618.35,50836.32,40476.717602664,5503.09707,7841.45556,9990.0,10870.2781494912,89828.692695808
2020-03-17,14808.402,6851.3766949,38106.9,53890.44,41242.03369179,5582.8521,7674.61608,10200.0,10870.2781494912,88902.623698944
