year,month,symbol,sectorL2,cap,averageLiquidity21,averageLiquidity63,averageLiquidity252,grossProfitQoQ,roe,eps,pe,pb
2024,5,HSG,Basic Resources,11950056794600.0,9558510.1429,11508056.5397,12917400.0714,0.1775,0.0813,1283.47,15.12,1.1
2024,5,TCH,Real Estate,10691453488000.0,15311613.1429,11816781.381,10227061.5516,0.1056,0.0971,889.57,17.99,1.24
2024,5,VIC,Real Estate,169961756386450.0,3623124.5714,3979025.8889,5608141.9524,0.3064,0.0732,2306.77,19.27,1.31
2024,5,TCB,Banks,164149003792600.0,11036484.381,9484653.7143,5750843.0198,0.0572,0.1536,5605.86,8.31,1.2
2024,5,CTG,Banks,176135729334400.0,10486640.6667,9803860.3651,6384356.2619,0.0513,0.1628,3706.44,8.85,1.41
2024,5,MBS,Financial Services,11816278704000.0,4313603.8095,4600907.3333,4210221.869,0.0941,0.1302,1474.63,18.31,2.26
2024,5,PLX,Oil & Gas,45360142789500.0,752244.4286,1000183.1429,1006811.0437,0.1726,0.1268,2230.38,16.01,1.75
2024,5,VCB,Banks,509725123094400.0,1249749.0476,1400289.746,1179950.7143,0.0622,0.1999,5910.3,15.43,3.09
2024,5,SSI,Financial Services,52769681148800.0,20555248.8095,23147714.7302,22845195.5159,0.2282,0.1118,1531.05,22.99,2.28
2024,5,ACB,Banks,104286752112300.0,9606297.8571,10652660.2222,8677414.2302,0.0641,0.2297,4071.81,6.59,1.39
2024,5,BVH,Insurance,29284633039800.0,350207.6667,473393.4444,576418.3214,0.381,0.0827,2404.43,16.41,1.37
2024,5,HCM,Financial Services,19042418633700.0,8117932.6667,8916553.0476,6924841.4206,0.3493,0.1004,1540.92,17.55,2.22
2024,5,BSI,Financial Services,10382496102400.0,837556.8571,827051.0159,1211729.123,0.5146,0.0959,2212.23,23.14,2.15
2024,5,SHS,Financial Services,14880768488400.0,24271184.2857,24513977.7619,23382212.8373,0.8423,0.0856,1075.65,17.01,1.4
2024,5,VHC,Food & Beverage,16609533766000.0,623886.2381,875204.3175,818682.4802,0.3633,0.1037,4153.26,17.82,1.99
2024,5,PNJ,Personal & Household Goods,31783163995000.0,1561150.7143,1539031.1429,956480.119,0.2272,0.2016,5949.46,15.97,3.03
2024,5,VGC,Construction & Materials,22776180000000.0,857127.4286,1226991.8095,1257564.4048,0.3064,0.1537,2746.42,18.5,2.83
2024,5,ACV,Industrial Goods & Services,180075163115484.0,305202.6667,323954.5714,133744.746,0.335,0.1979,3886.03,21.29,3.58
2024,5,VHM,Real Estate,177658193510400.0,12244830.6667,9134245.0635,5899374.4722,1.0113,0.127,7663.89,5.32,0.99
2024,5,HVN,Travel & Leisure,38198299501500.0,2686907.1905,1390179.8571,1093226.5595,22.5705,0.0978,-2678.07,-6.44,-2.18
2024,6,HSG,Basic Resources,13428414336200.0,9061077.6667,10782255.5873,12617191.1865,0.1775,0.0813,1423.38,15.32,1.2
2024,6,TCH,Real Estate,13163852107100.0,14543166.5714,14321978.6349,10793881.5397,0.1056,0.0971,1251.71,15.74,1.46
2024,6,VIC,Real Estate,166520460981550.0,2296191.6667,3359680.4127,5635455.5437,0.3064,0.0732,2306.77,18.88,1.28
2024,6,TCB,Banks,165558008117000.0,9578165.2381,10079424.2063,6276853.1825,0.0572,0.1536,5605.86,8.38,1.21
2024,6,CTG,Banks,171302736761200.0,9213554.1905,9790530.8254,6874503.6786,0.0513,0.1628,3751.34,8.5,1.32
2024,6,MBS,Financial Services,14442118416000.0,4759967.1905,4671012.6032,4325136.4206,0.0941,0.1302,1474.63,22.38,2.77
2024,6,PLX,Oil & Gas,52094281635000.0,2547725.1905,1597068.0952,1165482.3492,0.1726,0.1268,2569.89,15.95,1.93
2024,6,VCB,Banks,487368758046400.0,1406131.619,1451534.8254,1246074.7698,0.0622,0.1999,5837.58,14.94,2.81
